data,casa,trasferta,risultato_reale,predizione,prob_h,prob_d,prob_a,confidenza,corretto
2025-03-09,Empoli,Roma,A,D,0.332,0.339,0.329,0.339,False
2025-03-09,Napoli,Fiorentina,H,H,0.54,0.318,0.142,0.54,True
2025-03-09,Verona,Bologna,A,H,0.379,0.37,0.25,0.379,False
2025-03-10,Lazio,Udinese,D,H,0.589,0.263,0.148,0.589,False
2025-03-14,Genoa,Lecce,H,H,0.404,0.375,0.221,0.404,True
2025-03-15,Udinese,Verona,A,D,0.372,0.459,0.169,0.459,False
2025-03-15,Monza,Parma,D,H,0.443,0.356,0.202,0.443,False
2025-03-15,Milan,Como,H,H,0.481,0.337,0.182,0.481,True
2025-03-15,Torino,Empoli,H,H,0.428,0.385,0.187,0.428,True
2025-03-16,Atalanta,Inter,A,H,0.365,0.274,0.361,0.365,False
2025-03-16,Roma,Cagliari,H,H,0.588,0.269,0.143,0.588,True
2025-03-16,Fiorentina,Juventus,H,D,0.378,0.395,0.227,0.395,False
2025-03-16,Bologna,Lazio,H,H,0.412,0.37,0.219,0.412,True
2025-03-16,Venezia,Napoli,D,A,0.21,0.342,0.448,0.448,False
2025-03-29,Lecce,Roma,A,A,0.286,0.354,0.36,0.36,True
2025-03-29,Juventus,Genoa,H,H,0.52,0.342,0.138,0.52,True
2025-03-29,Como,Empoli,D,H,0.499,0.353,0.149,0.499,False
2025-03-29,Venezia,Bologna,A,D,0.259,0.403,0.338,0.403,False
2025-03-30,Napoli,Milan,H,H,0.433,0.317,0.25,0.433,True
2025-03-30,Inter,Udinese,H,H,0.564,0.289,0.147,0.564,True
2025-03-30,Fiorentina,Atalanta,H,D,0.338,0.366,0.296,0.366,False
2025-03-30,Cagliari,Monza,H,D,0.313,0.433,0.254,0.433,False
2025-03-31,Lazio,Torino,D,H,0.586,0.268,0.146,0.586,False
2025-03-31,Verona,Parma,D,H,0.449,0.363,0.189,0.449,False
2025-04-04,Genoa,Udinese,H,H,0.395,0.35,0.255,0.395,True
2025-04-05,Milan,Fiorentina,D,H,0.555,0.304,0.141,0.555,False
2025-04-05,Parma,Inter,D,A,0.234,0.267,0.5,0.5,False
2025-04-05,Monza,Como,A,D,0.356,0.369,0.274,0.369,False
2025-04-06,Roma,Juventus,D,H,0.542,0.309,0.15,0.542,False
2025-04-06,Atalanta,Lazio,A,H,0.479,0.325,0.196,0.479,False
2025-04-06,Torino,Verona,D,H,0.452,0.4,0.148,0.452,False
2025-04-06,Empoli,Cagliari,D,H,0.436,0.362,0.202,0.436,False
2025-04-06,Lecce,Venezia,D,H,0.399,0.391,0.21,0.399,False
2025-04-07,Bologna,Napoli,D,H,0.354,0.351,0.296,0.354,False
2025-04-11,Udinese,Milan,A,D,0.256,0.373,0.37,0.373,False
2025-04-12,Juventus,Lecce,H,H,0.519,0.336,0.145,0.519,True
2025-04-12,Inter,Cagliari,H,H,0.57,0.287,0.143,0.57,True
2025-04-12,Venezia,Monza,H,D,0.277,0.413,0.31,0.413,False
2025-04-13,Lazio,Roma,D,H,0.516,0.277,0.206,0.516,False
2025-04-13,Como,Torino,H,H,0.472,0.363,0.165,0.472,True
2025-04-13,Verona,Genoa,D,H,0.451,0.401,0.148,0.451,False
2025-04-13,Atalanta,Bologna,H,H,0.476,0.345,0.179,0.476,True
2025-04-13,Fiorentina,Parma,D,H,0.439,0.392,0.169,0.439,False
2025-04-14,Napoli,Empoli,H,H,0.541,0.312,0.147,0.541,True
2025-04-19,Lecce,Como,A,D,0.308,0.397,0.295,0.397,False
2025-04-19,Monza,Napoli,A,A,0.295,0.322,0.384,0.384,True
2025-04-19,Roma,Verona,H,H,0.587,0.274,0.139,0.587,True
2025-04-20,Empoli,Venezia,D,H,0.449,0.363,0.187,0.449,False
2025-04-20,Bologna,Inter,H,A,0.308,0.311,0.381,0.381,False
2025-04-20,Milan,Atalanta,A,H,0.466,0.312,0.222,0.466,False
2025-04-23,Torino,Udinese,H,H,0.413,0.366,0.221,0.413,True
2025-04-23,Cagliari,Fiorentina,A,D,0.393,0.441,0.166,0.441,False
2025-04-23,Genoa,Lazio,A,H,0.363,0.35,0.287,0.363,False
2025-04-23,Parma,Juventus,H,D,0.324,0.372,0.305,0.372,False
2025-04-27,Atalanta,Lecce,D,H,0.514,0.336,0.15,0.514,False
2025-04-27,Juventus,Monza,H,H,0.48,0.37,0.15,0.48,True
2025-04-27,Napoli,Torino,H,H,0.536,0.316,0.148,0.536,True
2025-04-27,Venezia,Milan,A,A,0.209,0.352,0.439,0.439,True
2025-04-27,Fiorentina,Empoli,H,H,0.432,0.392,0.176,0.432,True
2025-04-27,Inter,Roma,A,H,0.496,0.305,0.199,0.496,False
2025-04-27,Como,Genoa,H,H,0.481,0.375,0.144,0.481,True
2025-04-28,Udinese,Bologna,D,D,0.304,0.422,0.275,0.422,True
2025-04-28,Lazio,Parma,D,H,0.597,0.259,0.144,0.597,False
2025-04-28,Verona,Cagliari,A,H,0.447,0.36,0.193,0.447,False
2025-05-02,Torino,Venezia,D,H,0.432,0.389,0.179,0.432,False
2025-05-03,Inter,Verona,H,H,0.57,0.291,0.139,0.57,True
2025-05-03,Lecce,Napoli,A,A,0.267,0.338,0.395,0.395,True
2025-05-03,Cagliari,Udinese,A,D,0.356,0.397,0.246,0.397,False
